"water_year","TC_ET_mm","PRISM_ET_mm","Daymet_ET_mm"
1970,294.822356953122,333.784391585157,NA
1971,292.193447685181,292.039313486046,NA
1972,592.243704111703,584.193552596551,NA
1973,479.150798803184,474.741978456864,NA
1974,523.723898961301,535.318606753509,NA
1975,463.907347150618,503.918364466636,NA
1976,697.186981305003,695.116321131842,NA
1977,470.711767411703,492.03949468443,NA
1978,369.693028139608,396.911415585495,NA
1979,634.031808711436,697.607025161652,NA
1980,542.316466475651,542.485968640153,NA
1981,628.709933541858,715.606383758308,777.861423355313
1982,194.611639060381,221.13398754523,439.404302595143
1983,581.049954995966,550.597238545749,673.317362000634
1984,625.543743359222,599.278797471776,711.364342767877
1985,532.923395022631,533.281901516138,584.984377641546
1986,607.217931975965,551.627174400208,703.186440064496
1987,567.853198878773,555.861402341977,602.410722415045
1988,577.597563675974,567.051438134848,603.942580006825
1989,479.772729042454,482.010077527303,661.001771729316
1990,556.009929983002,588.795233013306,589.566924177739
1991,635.379148295246,644.443801974899,783.547402038382
1992,404.276481472361,413.002477143356,475.285405154411
1993,621.80602673126,583.428743181477,668.64386809226
1994,546.723744183381,475.167099161736,585.585195136662
1995,664.903356496997,706.626105414746,664.573196184391
1996,567.279219572466,571.520355936103,708.698949140618
1997,461.315069105998,487.424062612491,610.148491204708
1998,626.434105525307,578.951356607558,628.925029811876
1999,592.548059328415,631.006522531878,697.712750838449
2000,447.770752873286,485.643133825666,576.517639828979
2001,493.553317050864,427.832786747833,534.627513998978
2002,747.199977814739,716.464761364523,757.717599430116
2003,595.041715479006,705.444421106712,566.474235830749
2004,357.656566969504,407.497227142664,593.820996958982
2005,770.334273761426,923.959901467054,663.959937371214
2006,537.488880111579,520.156488336688,703.218283760732
2007,502.201714818258,445.45542693947,545.343620514601
2008,859.621765659943,812.784644447822,846.611124427156
2009,576.00720388676,533.084465791522,576.540846173926
2010,688.46668404218,631.504422137419,732.809599899411
2011,679.403708268218,647.358686623196,714.077298120699
2012,586.260490262153,692.123520565184,703.486665032795
2013,545.39559835345,509.806074543927,768.297434377092
2014,550.243574983159,647.127503554588,573.829315164149
2015,604.520167807021,688.741195945549,891.245407280709
2016,524.037414647334,510.63934105426,537.347508646123
2017,623.797814075796,612.975065158047,544.342872315096
2018,583.056834153865,706.005080907111,772.655764068944
2019,847.99663855008,897.72309958904,909.41654474641
2020,300.447813589761,401.816309260757,369.922811935412
2021,915.896769442983,NA,902.795187243455
2022,NA,NA,NA
